,file,path,chain_id,n_residues,n_atoms
0,1drz_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/4pr6_B/1drz_B.cif,B,72,1532
1,4pr6_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/4pr6_B/4pr6_B.cif,B,70,2253
2,1vc5_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1vc5_B/1vc5_B.cif,B,70,1489
3,3nkb_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/3nkb_B/3nkb_B.cif,B,64,1372
4,1sj3_R.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1sj3_R.cif,R,73,1552
5,1vbx_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1vbx_B.cif,B,73,1552
6,1vbz_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1vbz_B.cif,B,73,1552
7,2oih_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/2oih_B.cif,B,73,1555
8,1vc0_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1vc0_B.cif,B,73,1552
9,1sj4_R.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1sj4_R.cif,R,73,1552
10,4prf_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/4prf_B.cif,B,73,2337
11,1vc6_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1vc6_B.cif,B,72,1532
12,1vby_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1vby_B.cif,B,73,1552
13,2oj3_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/2oj3_B.cif,B,73,1552
14,1sjf_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_26/1sj3_R/1sjf_B.cif,B,74,1574
15,6ufg_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/6ufg_A/6ufg_A.cif,A,162,3495
16,6pom_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/6pom_A/6pom_A.cif,A,155,3337
17,6ufh_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/6ufh_A/6ufh_A.cif,A,167,3605
18,6pmo_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/6pmo_A/6pmo_A.cif,A,60,1274
19,4lck_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4lck_C.cif,C,102,2197
20,4lck_F.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4lck_F.cif,F,102,2197
21,4tzw_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzw_C.cif,C,102,2197
22,4tzz_I.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzz_I.cif,I,102,2197
23,4tzp_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzp_C.cif,C,102,2194
24,4tzz_L.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzz_L.cif,L,102,2194
25,4tzp_F.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzp_F.cif,F,102,2194
26,4tzv_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzv_C.cif,C,102,2197
27,4tzz_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzz_C.cif,C,102,2194
28,4tzz_F.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_19/4tzw_C/4tzz_F.cif,F,102,2197
29,6cc1_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cc1_B/6cc1_A.cif,A,94,2001
30,6cc1_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cc1_B/6cc1_B.cif,B,100,2125
31,6cc3_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cc3_B/6cc3_B.cif,B,92,1970
32,6cc3_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cc3_B/6cc3_A.cif,A,100,2144
33,4y1i_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cb3_B/4y1i_A.cif,A,100,2142
34,4y1i_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cb3_B/4y1i_B.cif,B,100,2142
35,4y1j_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cb3_B/4y1j_A.cif,A,100,2140
36,4y1j_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cb3_B/4y1j_B.cif,B,100,2140
37,6cb3_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cb3_B/6cb3_A.cif,A,99,2122
38,6cb3_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6cb3_B/6cb3_B.cif,B,99,2122
39,4y1m_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/4y1m_B/4y1m_B.cif,B,107,2293
40,4y1m_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/4y1m_B/4y1m_A.cif,A,76,1623
41,6n2v_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6n2v_B/6n2v_A.cif,A,99,2139
42,6n2v_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_21/6n2v_B/6n2v_B.cif,B,99,2139
43,4gxy_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/4gxy_A/4gxy_A.cif,A,163,3506
44,4frn_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/4frn_B/4frn_B.cif,B,102,2182
